date,hour,Num_Crashes,day
2020-08-18,7,1,Tuesday
2020-08-18,8,0,Tuesday
2020-08-18,9,1,Tuesday
2020-08-18,10,1,Tuesday
2020-08-18,11,1,Tuesday
2020-08-18,12,1,Tuesday
2020-08-18,13,3,Tuesday
2020-08-18,14,0,Tuesday
2020-08-18,15,3,Tuesday
2020-08-18,16,2,Tuesday
2020-08-18,17,3,Tuesday
2020-08-18,18,0,Tuesday
2020-08-18,19,3,Tuesday
2020-08-18,20,2,Tuesday
2020-08-18,21,2,Tuesday
2020-08-18,22,0,Tuesday
2020-08-18,23,0,Tuesday
2020-08-19,0,0,Wednesday
2020-08-19,1,1,Wednesday
2020-08-19,2,0,Wednesday
2020-08-19,3,0,Wednesday
2020-08-19,4,0,Wednesday
2020-08-19,5,0,Wednesday
2020-08-19,6,1,Wednesday
2020-08-19,7,2,Wednesday
2020-08-19,8,0,Wednesday
2020-08-19,9,1,Wednesday
2020-08-19,10,1,Wednesday
2020-08-19,11,1,Wednesday
2020-08-19,12,1,Wednesday
2020-08-19,13,1,Wednesday
2020-08-19,14,1,Wednesday
2020-08-19,15,3,Wednesday
2020-08-19,16,3,Wednesday
2020-08-19,17,1,Wednesday
2020-08-19,18,1,Wednesday
2020-08-19,19,2,Wednesday
2020-08-19,20,0,Wednesday
2020-08-19,21,1,Wednesday
2020-08-19,22,1,Wednesday
2020-08-19,23,1,Wednesday
2020-08-20,0,0,Thursday
2020-08-20,1,1,Thursday
2020-08-20,2,1,Thursday
2020-08-20,3,1,Thursday
2020-08-20,4,0,Thursday
2020-08-20,5,0,Thursday
2020-08-20,6,0,Thursday
2020-08-20,7,1,Thursday
2020-08-20,8,1,Thursday
2020-08-20,9,1,Thursday
2020-08-20,10,2,Thursday
2020-08-20,11,1,Thursday
2020-08-20,12,2,Thursday
2020-08-20,13,1,Thursday
2020-08-20,14,2,Thursday
2020-08-20,15,4,Thursday
2020-08-20,16,3,Thursday
2020-08-20,17,1,Thursday
2020-08-20,18,4,Thursday
2020-08-20,19,2,Thursday
2020-08-20,20,1,Thursday
2020-08-20,21,1,Thursday
2020-08-20,22,0,Thursday
2020-08-20,23,2,Thursday
2020-08-21,0,0,Friday
2020-08-21,1,0,Friday
2020-08-21,2,0,Friday
2020-08-21,3,0,Friday
2020-08-21,4,1,Friday
2020-08-21,5,0,Friday
